,author,date,comment
237,Lynn Carlson,"09/20/2021, 03:22 PM","""I was at a party and, I came across some people with the STIIIZY Starter Kit. We all got free weed, and we were able to share the experience by vaping different flavors of marijuana. After being introduced to cannabis in this way, I realized that it's something I don't want to be part of. Prefer classic."""
238,Leticia Carpenter,"09/07/2021, 04:29 PM","""I have to say I was a little bit apprehensive about vape pens at first, but I was pleasantly surprised. The kit comes with everything you need to start vaping right away and is very cute and stylish. I love my STIIIZY Starter Kit - Red."""
239,Thelma Sullivan,"08/29/2021, 07:55 PM","""Best decision I've ever made. Vaping is more than just a vaporizer, it's a lifestyle."""
240,Horace Reese,"08/26/2021, 06:25 PM","""I wanted to give you a good review for the STIIIZY Starter Kit, as I think it is a really user-friendly and easy to use vape pen. It has come in handy on many occasions when a friend would want to try vaping and needs some guidance. I love the flavor pods, too! They really have a nice variety of flavors and the ones that I am familiar with are great."""
241,Sheldon Allison,"08/22/2021, 07:58 PM","""I have been a medic all my life, so being forced by the government to give up smoking was thrown in my face all the time. Not anymore. I definitely recommend vaping. You are getting the health benefits without any of the negative side effects."""
242,Cory Austin,"08/03/2021, 10:03 AM","This first starter kit surprised me. I am quite impressed with the quality. Feeling good, uplifted and relaxed but not to the point of being too high. And Cannabis blossom tastes so good, earthy. Quite nice"
243,Mike Salome,"07/24/2021, 01:56 PM",feeling was amazing!
244,Jared Knight,"07/16/2021, 12:58 PM","""You guys are literally killing it! It's now my favorite place to shop. The merch is just amazing and shipping is so fast."""
245,Jonathon Davidson,"07/05/2021, 03:48 PM","""Great starter kit at a very good price. I have been vaping for over a year now and this has worked out perfect."""
246,Kimberly Hernandez,"06/30/2021, 02:50 PM","""I was looking for the perfect starter kit, and I stumbled across this one. The design is sleek, and it seems like it would be easy to use. After a few clicks, I found that it had not."""
247,Ethel Hudson,"06/26/2021, 05:18 PM","""The kit was delivered in on time fashion. The product was very good and the packaging level. I would recommend them to other consumers, who would like to get their idea."""
248,Ahmet Archer,"06/24/2021, 01:48 PM",This kit is so easy to use and it looks great!
249,Nettie Clark,"06/10/2021, 08:36 PM",My absolute favorite thing about the STIIIZY starter kit is how quickly it charges
250,Christian Harmon,"06/08/2021, 09:25 AM","""I was not sure what to expect when I grabbed this kit and I am glad that I got it, I would have been kicking myself if I had not. Great price for a great device, there is nothing that could go wrong with this."""
251,Glenn Cross,"06/04/2021, 02:09 PM","""When I started vaping, I wasted a lot of money on cheap vape pens. However, when I found this starter kit, my life changed. This kit provides everything that someone needs to get started with the right vape. After just one day, I had enough cash and free shipping for the kit."""
252,Lewis Flores,"05/31/2021, 10:45 AM","""This is a great kit to get if you're first getting started in vaping. It comes with everything you need to vape which is nice so you don't have to worry about buying pods or e-juices."""
253,Pam Patrick,"05/29/2021, 09:54 PM","""I am new to vaping and this kit was discreet and easy to use. I really liked that the pods are customizable."""
254,Erma Meyer,"05/05/2021, 04:41 PM","""I am so glad I found a vape that I like! It is the difference between being in pain and pain free. Not having any side affects is awesome."""
255,Ervin Holland,"05/02/2021, 02:20 PM","""I bought the STIIIZY Starter Kit today and it is fantastic. I have used many different electric vaporizer pens over the last few years but this one was plug-and sell. This electric device is very easy to use, fun, and portable. It didn't take long at all to figure out how to use it."""
256,Wilbur Jimenez,"04/24/2021, 07:29 PM","""I purchased this vape kit and LOVE it. The best part is you can use your own flavoring."""
257,Enrique Perez,"04/23/2021, 09:51 PM",The sleek design and portability made vaping more enjoyable than ever before
258,Harry Carr,"04/23/2021, 03:39 PM","""If you're just getting into vaping, this starter kit is a great way to ease into e-cigs. The vape pods are compatible with every vape device, and since the kits are cheap, people can purchase even more things later on."""
259,Leigh Boyle,"04/07/2021, 06:49 PM",I love the STIIIZY Starter Kit because it is so light and small
260,Roger Mckinney,"04/03/2021, 08:09 PM","""This was my first vaping experience. I was scared that I would fail, I quickly ran out of puff! It'was not what i expected, didn't feel uplifted, or any high at all."""
261,Jody Neal,"03/26/2021, 12:28 PM","""I just wanted to say that this product is the perfect starter kit. I am new to the vaping world and they have given me everything I need in one place. It has everything I can think of and it comes with a USB charging cable so that you don't need to spend any more money on batteries."""
262,Ben Howell,"03/14/2021, 10:19 PM","""If you want to gain more knowledge and try some great products that are not so expensive and do your body good, then this is definitely the way to go. I love how I can get a starter kit that includes things like a USB charge cable and vape pods that cost less than $25."""
263,Caleb Steele,"03/13/2021, 03:39 PM","""I got my kit on Friday of this past week and it was such a joy to finally have cannabis after so long. I couldn't believe that my very first hit was purple. That's a new one for me. I used this vape pod with peppermint that is in the starter kit, and the effect it had on me was unholy."""
264,Felicia Tucker,"02/19/2021, 12:13 PM","""The starter kit is a must for your cannabis needs! It is extremely easy to use, great in portability, comes with everything you need, and allows for an excellent vaping experience. Its mobility has expanded my usage of cannabis beyond what I am able to do alone."""
265,Leo Roberts,"02/18/2021, 11:51 AM","""This is the first time I tried vaping and it feels so much better than smoking. I love the convenience and ease of use with this starter kit."""
266,Betty Emerson,"02/17/2021, 10:32 PM",I got STIIIZY Starter Kit from my brother and I absolutely love it!
267,Chelsea Valdez,"02/16/2021, 12:56 PM","""I have tried many vape pens and chose my new favorite the STIIIZY Vape Pen Kit by reading reviews. This starter kit has been on the market for quite a few years and is perfect for newbies to vaping."""
268,Gerard Salter,"02/09/2021, 04:44 PM",It is so easy to use and really lightweight
269,Tomas Perry,"02/01/2021, 04:12 PM","""I am very satisfied with my newly bought 215D batteries. I always knew I needed to consider batteries when purchasing a mod, but they are even more necessary with the power of these types of devices."""
270,Wendy Reid,"01/31/2021, 03:46 PM","""The STIIIZY Starter Kit was amazing! I got a 2-in-1 mid priced kit, after hearing about their effects. Has helped me a lot if I'm struggling with some certain things."""
271,Bessie Goodwin,"01/29/2021, 12:47 PM","""I am new to vaping and just love STIIIZY products. They are discreet, tasteful and make the best vapor. I definitely suggest this kit for those that have not tried THS before!"""
272,Wade Cooper,"01/27/2021, 09:16 PM","""I'm very happy with this vape kit. It came in nicely packaged and looks so great, I can't wait to start using it."""
273,Andre Cox,"01/24/2021, 04:33 PM","""I haven't had a cigarette in 3 years. I boxed up my last one and threw it away. Now, thanks to STIIIZY Starter Kit - Red, I am now vaping cannabis instead of spiraling through nicotine withdrawal!"""
274,Celia Burke,"12/29/2020, 02:37 PM","""I just tried Cannabis vaping with a vape pen for the first time and it was an amazing experience. My STIIIZY Starter Kit feels like such a value because you get a small, lightweight and discreet device that is easy to conceal. The lovely cool features of the device keep me happy and calm."""
275,Aubrey Mathis,"12/28/2020, 02:41 PM","""This product is for beginners. The starter kit is ideal for people who have never had a vape style device and are looking to get started into vaping. The kit includes all the basics and a USB charging cable which is very convenient."""
276,Evan Welch,"12/27/2020, 05:12 PM","""I tried a few different types of smooth vapes and ordered the starter kit for STIIIZY devices. The smoke is great, the pear apple and lavender were two of my favorites."""
277,Darrin Massey,"12/25/2020, 11:48 AM","""This vape starter kit is perfect for newbies to the vaping world. This vape kit includes everything you need to start vaping. It comes with a USB charging cord and a battery that plugs into that cord. The kit comes with other parts such as a pod and its own charger."""
278,Orlando Osborne,"12/22/2020, 10:53 AM","""This starter kit is perfect for beginners! I have never liked the idea of purchasing e-cigarettes because of all the maintenance and accessories that are required. The safety, reliability and cleanliness of a disposable vape pen is, therefore, very appealing to me."""
279,Micheal Bryant,"12/12/2020, 03:00 PM","""I love this box! All my friends have already bought one because they are attracted to the sleek design and effective point. This is such a great starter kit considering you get a vaporizer, USB charger, and five different pods that can be charged via USB!"""
280,Lance Todd,"12/08/2020, 10:21 AM","""Absolutely love the starter kit! I always had trouble finding my favorite strains to share with people and now I can easily do this. I also love that the pods are color coded so they know what they are getting. The set up was super easy and it doesn't hurt either."""
281,Michele Ford,"11/29/2020, 08:23 PM","""GET YOUR Starter Kit TODAY!"""
282,Damian Henry,"11/29/2020, 01:34 PM",I am so happy with my STIIIZY Starter Kit: Red!
283,Theresa Dunn,"11/29/2020, 09:43 AM","""STIIIZY is the best new vaping company that I've found. These starter kits are fantastic and creative. It's perfect for a beginner. Its two interchangeable pods, carry case, and USB charger have helped me to get into vaping without breaking the bank"""
284,Jeanette Ballard,"11/06/2020, 12:56 PM","""Finally a complete kit to start vaping!"""
285,Valerie Arnold,"11/05/2020, 03:29 PM","""I found myself busy and stressed consistently. I switched to vaping a few years ago and decided to give STIIIZY a try as my dealer said that it's the number one best strain for relaxation. From the first hit, I swear my stress just melted away! With a gorgeous purple glow, I was relaxed in less than ten minutes! It is the safest way to relieve your stress with no harmful chemicals."""
286,Jonty Donald,"11/05/2020, 09:20 AM",I am such a fan of this vape starter kit.
287,Theodore Vasquez,"11/04/2020, 09:11 AM","""STIIIZY Starter Kit - Red it is wonderful! I really like the flavor and it seems like these vape pens are actually worth the money. That's so hard to come by nowadays."""
288,Jasmine Norris,"11/03/2020, 08:19 PM","""Super happy with this product and first time vaping. What a great starter kit for anyone on a budget."""
289,Clay Vega,"10/23/2020, 10:05 AM","""I came across this site while looking for a gift idea in the weed section of my local head shop and I bought that kit with the intention to give it to my boyfriend. He is not too keen on smoking, but he loved the idea of vaping as a new hobby. Now he's hooked! The starter kit is super simple to use and comes with everything you need."""
290,Edgar Peterson,"10/13/2020, 10:23 AM","""I definitely recommend this kit for anyone who's looking to start vaping. Easy to use and hard to mess up with it's included battery charger."""
291,Jason Cook,"10/03/2020, 07:17 PM","""I just want to say that the STIIIZY Starter Kit is amazing. Sick of packaging with the same old black, blue, or brown vape pens? The stylish Red Starter Kit is bound to catch some attention. I have been a smoker and a vaper for three years now and this product has made it so much easier. If you are in need of a new vaporizer, this is definitely a place where you should start."""
292,Jacquelyn Maxwell,"09/12/2020, 01:11 PM","""I started participating in an LCS baseball team about three weeks ago and my parents were surprised that I loved playing the game so much. Even though we are trying to keep it a secret, they got me the STIIIZY Starter Kit - Red as a surprise gift since they thought my vape would help me get through practices."""
293,Luke Reese,"09/05/2020, 01:27 PM","""Awesome starter kit, great price. New to vaping but this kit has everything I need to learn and get started."""
294,Bennie Wolfe,"09/04/2020, 11:08 AM","""In less than a year I have seen tremendous improvements in my life, this is due to the ease of use of the a vape kit like this. Whether that be for pleasure or just for relief, the changes are well worth the switch."""
295,Gertrude Jenkins,"09/02/2020, 05:49 PM","""It was very easy to use and fit into a purse. But it didn't made me feel better."""
296,Phebe Burgess,"08/21/2020, 09:14 PM",It has been a lifesaver for me when I want to vape but don't want to carry around a big device
297,Eva Bridges,"08/18/2020, 08:29 PM","""This is a must buy. I needed a little extra help with my ecig, and this kit has made it easy. It quickly reminds me to charge it and helps me pick the right pods thanks to the safety feature."""
298,Sherry Mckenzie,"08/17/2020, 06:28 PM","""The starter kit is amazing. Awesome customer service too. Had no issues out of the box and it has an easy to use battery."""
299,Dianne Sandoval,"08/15/2020, 04:24 PM","""This kit is really the perfect starter kit for a novice! The user guides are easy to understood and have pictures that show you how to set up your vape and use it. The package comes with everything you need, meaning it's super easy to pack and send off for for your new friend or loved one. Don't hesitate - get ready for a great time as soon as you receive this beautiful package!"""
300,Terence Larson,"08/09/2020, 09:52 AM","""The STIIIZY Starter Kit is perfect for anyone just getting into vaping. The kit includes everything you need to get started including a USB charger, battery, and plenty of sample pods in each different flavor."""
301,Marnie Corrigan,"08/07/2020, 10:53 PM",It’s so easy to use and I love how it’s such a lightweight design
302,Dustin Munoz,"08/05/2020, 11:43 AM","""I just wanted to say that this is the best place I have ever been! Unless you are on the site there will be no clue other than the most unique vaporizers. I now vape all the time when my friends and coworkers stop by because they know what I'm going to be vaping."""
303,Norman Figueroa,"08/04/2020, 09:55 AM","""I recently discovered the STIIIZY Starter Kit and I'm in love! It's perfect for anyone who is new to vaping. It comes with everything you need- from the kit itself, to the pods, to the USB charging cable. The whole thing is so simple yet efficient and has a very attractive design."""
304,Suzanne Brown,"07/23/2020, 10:38 PM","""This starter kit is worth the price! It came with everything you need and was super easy to use. I absolutely love it!"""
305,Elias Kennedy,"07/22/2020, 10:47 PM","""This vape starter kit is incredible. It has everything you need to get started and it doesn't cost a lot either! The flavor is amazing and I would recommend this product to anyone."""
306,Giselle Becker,"07/18/2020, 03:49 PM","I am a smoker and finally decided it was time to quit, STIIIZY Starter Kit - Red has been the perfect tool for my quitting journey."
307,Johnathan Harper,"07/17/2020, 10:00 PM","""I got the starter kit yesterday and I LOVE it! I had a really great experience because the customer service was just phenomenal. They put me in emails with links to videos and tutorials that were easy to follow. Also, the starter kit is super cute."""
308,Katie Moreno,"07/14/2020, 10:37 PM","""The STIIIZY Starter Kit was a gift from a friend, and I must say that it has been one of the best gifts that I have ever received. Not only is it easy to use, but it also has great features and lasts a long time."""
309,Kent Mccormick,"07/06/2020, 07:42 PM","""What a large assortment of pod flavors that would make anyone feel like they are in a candy shop! I love the sleek look of this kit as well, it definitely makes vaping more fun."""
310,Charlene Harrington,"07/05/2020, 09:17 PM","""It's a lot of fun, it doesn't resemble the icky THC turds, and the person speaking is quite knowledgeable about cannabis."""
311,Willie Stevenson,"07/05/2020, 02:03 PM","""This kit is great. It ensure you not have to worry about figuring out the full extent of the device, or purchasing extra parts when you first start vaping. I would recommend this to all my friends."""
312,Ioan Ahmad,"06/30/2020, 02:14 PM","I was looking for a vape starter kit that wouldn't break the bank and didn't want to be bothered with the hassle of shopping for items separately, so this was perfect."
313,Taliyah Glover,"06/20/2020, 05:02 PM",I just wanted to say that the STIIIZY Starter Kit has been such a great purchase.
314,Christopher Graves,"06/19/2020, 11:07 AM","""I just wanted to say that i actually bought my starter kit from STIIIZY, and it was great service. I got this as a gift, and they had such a cool selection."""
315,Ernesto Obrien,"06/17/2020, 09:55 PM","""I have been vaping with the STIIIZY starter kit for a few days now and it is amazing. I have never used a vaping device that was as easy to use and satisfying as this one. The battery is super long lasting and it's easy to charge."""
316,Karl Mcdaniel,"06/17/2020, 01:24 PM","""I think it's important to go with a product that is organic and organic vape pens are not heavily advertised like mainstream vape pens."""
317,Kathleen Watkins,"06/16/2020, 10:35 PM","""This kit is ideal for somebody new to vaping or just a seasoned professional. They have a well-rounded assortment of items that will help you find your comfort level. The battery is also long lasting which is perfect for those who like to plan their days around vaping."""
318,Brad Hicks,"06/15/2020, 01:17 PM","“I tried this kit with a friend because she doesn't inhale and she couldn't believe how good it tasted. She's been hooked ever since!"""
319,Beulah Fowler,"06/05/2020, 03:25 PM","""This kit is so great. My old vape broke, so I needed something new. This is the perfect starter kit for those just getting into vaping and it's very affordable!"""
320,Stephen Howard,"06/03/2020, 03:28 PM","""The kit is great so far. I really like the battery. I heard a lot of people complaining about bad quality batteries but the one that comes with this kit seems pretty solid."""
321,Gwen Gonzalez,"05/29/2020, 12:42 PM","""I like using this starter kit because I have it on me any time I need a vape. It's sleek and stylish, perfect for those late night parties. Best of all, if you're in the SWFL area, they have great customer service that is always available to answer any questions you may have."""
322,Constance Olson,"05/23/2020, 07:58 PM","""I am a beginner, but I got the Starter Kit for my freinds for Christmas and they loved it. I think all vape enthusiasts will really enjoy this kit. I hop people talk about it around their friends who might be looking to start snacking on cannabis."""
